X1,X2
UTRGV,A&M-Corpus Christi
A&M-Corpus Christi,UT Arlington
UC Davis,A&M-Corpus Christi
UTRGV,A&M-Corpus Christi
Tennessee,A&M-Corpus Christi
Texas St.,A&M-Corpus Christi
UTSA,A&M-Corpus Christi
Louisiana Tech,A&M-Corpus Christi
Oklahoma St.,A&M-Corpus Christi
A&M-Corpus Christi,Central Ark.
Lamar University,A&M-Corpus Christi
A&M-Corpus Christi,Northwestern St.
Sam Houston St.,A&M-Corpus Christi
A&M-Corpus Christi,New Orleans
A&M-Corpus Christi,Nicholls St.
Abilene Christian,A&M-Corpus Christi
Houston Baptist,A&M-Corpus Christi
Southeastern La.,A&M-Corpus Christi
A&M-Corpus Christi,Incarnate Word
Sam Houston St.,A&M-Corpus Christi
New Orleans,A&M-Corpus Christi
A&M-Corpus Christi,SFA
Lamar University,A&M-Corpus Christi
Abilene Christian,A&M-Corpus Christi
A&M-Corpus Christi,Incarnate Word
A&M-Corpus Christi,McNeese
A&M-Corpus Christi,Houston Baptist
Central Ark.,A&M-Corpus Christi
Abilene Christian,Arkansas St.
Abilene Christian,Denver
Abilene Christian,Elon
Abilene Christian,Pacific
Abilene Christian,UC Riverside
Pepperdine,Abilene Christian
Abilene Christian,Campbell
Texas Tech,Abilene Christian
Abilene Christian,Southeast Mo. St.
Abilene Christian,New Orleans
Sam Houston St.,Abilene Christian
Abilene Christian,McNeese
Abilene Christian,Southeastern La.
Abilene Christian,Houston Baptist
Abilene Christian,Northwestern St.
SFA,Abilene Christian
Abilene Christian,Central Ark.
Abilene Christian,A&M-Corpus Christi
Abilene Christian,Lamar University
Sam Houston St.,Abilene Christian
Abilene Christian,Nicholls St.
Abilene Christian,Incarnate Word
Southeastern La.,Abilene Christian
Abilene Christian,A&M-Corpus Christi
Abilene Christian,Central Ark.
Abilene Christian,SFA
NA,NA
Abilene Christian,Southeastern La.
Abilene Christian,New Orleans
Texas St.,Air Force
UMBC,Air Force
Air Force,South Dakota
High Point,Air Force
Colorado,Air Force
Air Force,Missouri St.
Pacific,Air Force
Air Force,Denver
Army West Point,Air Force
Michigan,Air Force
Air Force,UC Riverside
New Mexico,Air Force
Utah St.,Air Force
Colorado St.,Air Force
Air Force,San Diego St.
Air Force,UNLV
Nevada,Air Force
Air Force,Boise St.
Air Force,San Jose St.
San Diego St.,Air Force
Colorado St.,Air Force
Air Force,Wyoming
UNLV,Air Force
Utah St.,Air Force
Air Force,Fresno St.
Air Force,San Jose St.
Air Force,Wyoming
Nevada,Air Force
Boise St.,Air Force
Air Force,San Jose St.
Fresno St.,Air Force
Akron,Youngstown St.
Akron,Chicago St.
Clemson,Akron
Illinois St.,Akron
Akron,St. Bonaventure
Akron,Alabama St.
Akron,Detroit Mercy
Purdue Fort Wayne,Akron
Marshall,Akron
Akron,Tennessee St.
Nevada,Akron
Akron,Western Mich.
Central Mich.,Akron
Northern Ill.,Akron
Akron,Eastern Mich.
Miami (OH),Akron
Akron,Central Mich.
Akron,Northern Ill.
Akron,Ohio
Toledo,Akron
Akron,Kent St.
Buffalo,Akron
Ball St.,Akron
Bowling Green,Akron
Akron,Miami (OH)
Buffalo,Akron
Ohio,Akron
Akron,Bowling Green
Kent St.,Akron
Akron,Miami (OH)
Buffalo,Akron
Alabama,Southern U.
Alabama,Appalachian St.
Northeastern,Alabama
Alabama,Ball St.
Alabama,Wichita St.
Alabama,Murray St.
UCF,Alabama
Georgia St.,Alabama
Alabama,Arizona
Alabama,Liberty
Alabama,Penn St.
Alabama,SFA
Alabama,Kentucky
LSU,Alabama
Texas A&M,Alabama
Alabama,Missouri
Tennessee,Alabama
Alabama,Ole Miss
Baylor,Alabama
Alabama,Mississippi St.
Auburn,Alabama
Alabama,Georgia
Alabama,Vanderbilt
Mississippi St.,Alabama
NA,NA
Texas A&M,Alabama
Alabama,Vanderbilt
Alabama,South Carolina
LSU,Alabama
Auburn,Alabama
Arkansas,Alabama
Alabama,Ole Miss
Kentucky,Alabama
South Fla.,Alabama A&M
Houston,Alabama A&M
Rice,Alabama A&M
BYU,Alabama A&M
Northwestern St.,Alabama A&M
Fordham,Alabama A&M
UAB,Alabama A&M
Austin Peay,Alabama A&M
Samford,Alabama A&M
South Alabama,Alabama A&M
La Salle,Alabama A&M
Alabama A&M,Tulane
Hawaii,Alabama A&M
Pepperdine,Alabama A&M
Jackson St.,Alabama A&M
Alabama A&M,Grambling
Mississippi Val.,Alabama A&M
Ark.-Pine Bluff,Alabama A&M
Alabama St.,Alabama A&M
Alabama A&M,Southern U.
Alabama A&M,Alcorn
Prairie View,Alabama A&M
Texas Southern,Alabama A&M
Alabama A&M,Mississippi Val.
Ark.-Pine Bluff,Alabama A&M
Alabama St.,Alabama A&M
Southern U.,Alabama A&M
Alcorn,Alabama A&M
Prairie View,Alabama A&M
Texas Southern,Alabama A&M
Jackson St.,Alabama A&M
Grambling,Alabama A&M
Iowa St.,Alabama St.
South Dakota St.,Alabama St.
Iowa,Alabama St.
Akron,Alabama St.
Boise St.,Alabama St.
Utah St.,Alabama St.
